period,experiment_runn,measurer,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
123,422710,158476945,1438445,2627309,17,45076,5103470,139182,20529,27244,290216,4092,1.16
124,425875,154796575,1444464,2639193,17,45076,5125908,140228,20529,27244,290216,4092,0.57
125,429230,155740375,1462655,2667432,17,45076,5162325,140930,20529,27244,290216,4092,1.44
126,432447,156696011,1472942,2687146,17,45076,5193841,141907,20529,27244,290216,4092,1.11
127,435763,157662088,1478368,2698260,17,45076,5220209,143179,20529,27244,290216,4092,0.57
128,439132,163411271,1484625,2710307,17,45076,5244743,144265,20529,27244,290216,4092,0.61
129,442205,159577683,1500638,2736799,17,45076,5280132,145023,20529,27244,290216,4092,1.28
130,445556,160537428,1510739,2754711,17,45076,5309286,145932,20529,27244,290216,4092,0.96
131,448505,161493364,1522950,2774975,17,45076,5340534,146865,20529,27244,290216,4092,1.02
132,451853,162449429,1533302,2793425,17,45076,5371711,147756,20529,27244,290216,4092,0.98
133,455186,163407186,1544518,2812744,17,45076,5400985,148549,20529,27244,290216,4092,0.96
134,458537,164374331,1550839,2825066,17,45076,5424965,149632,20529,27244,290216,4092,0.60
135,461875,165334849,1556511,2843640,17,45076,5456093,150593,20529,27244,290216,4092,0.84
136,464501,166266000,1577424,2877639,17,45076,5501824,151489,20529,27244,290216,4092,1.68
137,467293,167211251,1592947,2904836,17,45076,5539352,152229,20529,27244,290216,4092,1.43
138,470613,168154262,1609337,2932890,17,45076,5576317,152897,20529,27244,290216,4092,1.35
139,473811,174203499,1626889,2963050,17,45076,5615935,153835,20529,27244,290216,4092,1.59
140,476892,170074658,1630384,2972005,17,45076,5631214,154688,20529,27244,290216,4092,0.36
141,480239,171022356,1644285,2994598,17,45076,5666379,155674,20529,27244,290216,4092,1.12
142,483327,171993256,1650687,3005595,17,45076,5687478,156660,20529,27244,290216,4092,0.52
143,486646,172962579,1656349,3014845,17,45076,5709913,157760,20529,27244,290216,4092,0.39
144,490366,173931051,1662961,3026138,17,45076,5733210,158688,20529,27244,290216,4092,0.54
145,493055,174891886,1668222,3043968,17,45076,5765892,159425,20529,27244,290216,4092,0.77
146,496316,175854639,1678820,3060685,17,45076,5793464,160312,20529,27244,290216,4092,0.85
147,499644,176824159,1684947,3071007,17,45076,5815478,161334,20529,27244,290216,4092,0.51
