period,experiment_runn,measurer,main,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
28,3244514,100995,113874,23146501,7158753,18,36523,24552,39831,6810210,1881,206992,4152,16.58
29,3363139,109136,113874,23162004,7444404,18,36523,24552,41140,7045663,1881,206992,4152,16.18
30,3469816,116143,113874,23882821,7694120,18,36523,24552,42644,7257623,1881,206992,4152,15.12
31,3538924,119507,113874,24684765,7877368,18,36523,24552,44155,7409303,1881,206992,4152,10.04
32,3681658,122317,113874,25314207,8211911,18,36523,24552,45539,7690419,1881,206992,4152,20.38
33,3827425,125657,113874,25945181,8519218,18,36523,24552,46658,7971856,1881,206992,4152,20.19
34,3948738,128611,113874,26630523,8814391,18,36523,24552,48057,8212700,1881,206992,4152,17.09
35,4067846,131324,113874,27323165,9077957,18,36523,24552,49386,8447972,1881,206992,4152,16.79
36,4181058,134292,113874,28033798,9330724,18,36523,24552,50786,8671168,1881,206992,4152,15.60
37,4303957,137038,113874,28715241,9626785,18,36523,24552,52067,8914827,1881,206992,4152,17.18
38,4419872,139690,113874,29417833,9884044,18,36523,24552,53227,9139868,1881,206992,4152,15.93
39,4539585,142934,113874,30099411,10177086,18,36523,24552,54522,9377359,1881,206992,4152,17.08
40,4649413,145467,113874,30806911,10424791,18,36523,24552,55930,9594343,1881,206992,4152,15.40
41,4762472,153006,113874,31516357,10678815,18,36523,24552,57419,9816062,1881,206992,4152,15.68
42,4865943,163935,113874,32281431,10931196,18,36523,24552,58752,10008400,1881,206992,4152,13.56
43,4994725,167126,113874,32973393,11193576,18,36523,24552,60132,10232506,1881,206992,4152,16.03
44,5101459,170342,113874,33701544,11456850,18,36523,24552,61605,10435055,1881,206992,4152,13.51
45,5227148,172815,113874,34385146,11716197,18,36523,24552,62992,10653293,1881,206992,4152,15.34
46,5356926,176439,113874,35662574,12001054,18,36523,24552,64393,10874195,1881,206992,4152,15.41
47,5484170,178992,113874,35786404,12266957,18,36523,24552,65781,11092475,1881,206992,4152,15.38
48,5622295,187319,113874,37010139,12558517,18,36523,24552,67035,11349973,1881,206992,4152,18.40
49,5759218,197184,113874,37116997,12875757,18,36523,24552,68525,11615877,1881,206992,4152,19.41
50,5875169,199776,113874,37818103,13133970,18,36523,24552,69890,11837838,1881,206992,4152,15.54
51,5993326,202993,113874,39075170,13415031,18,36523,24552,71256,12056035,1881,206992,4152,15.28
52,6116512,206257,113874,39207523,13666753,18,36523,24552,72616,12265018,1881,206992,4152,14.70
53,6256449,209302,113874,39887037,13954417,18,36523,24552,74049,12477945,1881,206992,4152,15.44
54,6388698,212299,113874,40587559,14206799,18,36523,24552,75427,12676839,1881,206992,4152,14.16
55,6515411,215510,113874,41282781,14462828,18,36523,24552,76835,12886334,1881,206992,4152,14.74
56,6615132,218752,113874,42645662,14712801,18,36523,24552,78350,13061916,1881,206992,4152,12.41
57,6771833,221407,113874,42673814,15003576,18,36523,24552,79702,13298622,1881,206992,4152,17.22
58,6928658,224303,113874,43324045,15322769,18,36523,24552,81227,13536116,1881,206992,4152,17.28
59,7052297,227286,113874,44016556,15569709,18,36523,24552,82691,13747777,1881,206992,4152,14.84
60,7176585,230014,113874,44711998,15812711,18,36523,24552,84068,13960940,1881,206992,4152,15.06
61,7324169,241438,113874,45382627,16120463,18,36523,24552,85641,14215438,1881,206992,4152,17.91
62,7397448,244622,113874,46200806,16273726,18,36523,24552,86973,14355362,1881,206992,4152,9.11
63,7412916,247796,113874,47807257,16372359,18,36523,24552,88415,14396708,1881,206992,4152,1.79
64,7522696,250399,113874,47870352,16590332,18,36523,24552,89834,14597166,1881,206992,4152,13.88
65,7541686,253611,113874,48792678,16687888,18,36523,24552,91449,14658534,1881,206992,4152,2.95
66,7642279,256393,113874,49524014,16911412,18,36523,24552,92907,14854873,1881,206992,4152,13.68
67,7771408,259031,113874,50203648,17182949,18,36523,24552,94401,15089986,1881,206992,4152,16.72
68,7823864,261977,113874,51051999,17332963,18,36523,24552,96029,15203154,1881,206992,4152,7.16
69,7857731,265114,113874,51944317,17473740,18,36523,24552,97722,15283464,1881,206992,4152,4.23
70,7954999,268378,113874,52699466,17702925,18,36523,24552,99014,15472142,1881,206992,4152,12.64
71,8076568,271348,113874,53389631,17953897,18,36523,24552,100419,15699980,1881,206992,4152,16.09
72,8199476,279579,113874,54078883,18198732,18,36523,24552,102114,15914963,1881,206992,4152,14.91
73,8349067,289953,113874,54748169,18513883,18,36523,24552,103578,16170609,1881,206992,4152,17.99
74,8494465,292744,113874,56106589,18811174,18,36523,24552,105132,16429667,1881,206992,4152,18.34
75,8600452,298948,113874,56122657,19063307,18,36523,24552,106440,16623120,1881,206992,4152,13.34
76,8727437,301601,113874,56828966,19320988,18,36523,24552,107969,16840414,1881,206992,4152,15.04
77,8864429,304771,113874,58176745,19616812,18,36523,24552,109300,17076193,1881,206992,4152,16.95
78,8997720,307482,113874,58210974,19888213,18,36523,24552,110604,17303895,1881,206992,4152,16.05
79,9139540,315015,113874,59502388,20182182,18,36523,24552,112060,17551470,1881,206992,4152,16.98
80,9270922,326351,113874,60204568,20464384,18,36523,24552,113371,17787017,1881,206992,4152,16.67
81,9396479,329652,113874,60270476,20729140,18,36523,24552,114594,18031986,1881,206992,4152,17.50
82,9525030,332637,113874,60934552,21027721,18,36523,24552,115691,18284377,1881,206992,4152,18.16
