period,experiment_runn,measurer,IDLE,tiT,sys_evt,ipc0,wifi,esp_timer,Tmr Svc,ipc1,Heap,Stack,Mbps
46,2473336,234037,11044404,38539150,24568,1856,8820551,53426,18,19517,290608,4152,12.61,100238
47,2529362,237687,39902023,39446181,24568,1856,9008984,54526,18,19517,290608,4152,12.53,100238
48,2587319,249207,11247681,40376523,24568,1856,9199303,55639,18,19517,290608,4152,12.48,100238
49,2646244,252393,11319166,41302589,24568,1856,9391842,56756,18,19517,290608,4152,12.90,100238
50,2702696,256024,11406389,42217117,24568,1856,9582775,57845,18,19517,290608,4152,12.73,100238
51,2759126,259419,11501661,43147911,24568,1856,9773977,58880,18,19517,290608,4152,12.51,100238
52,2815451,264472,11615415,44025469,24568,1856,9957627,59985,18,19517,290608,4152,12.11,100238
53,2872024,268048,11722561,44913649,24568,1856,10145226,61067,18,19517,290608,4152,12.24,100238
54,2930556,271491,11798989,45842294,24568,1856,10341728,62142,18,19517,290608,4152,12.96,100238
55,2989066,274885,46182046,46783390,24568,1856,10534226,63230,18,19517,290608,4152,12.61,100238
56,3043235,277957,12029844,47635271,24568,1856,10712715,64281,18,19517,290608,4152,11.68,100238
57,3100836,281204,47745290,48525886,24568,1856,10896635,65389,18,19517,290608,4152,12.29,100238
58,3155732,284350,12265696,49384074,24568,1856,11074943,66432,18,19517,290608,4152,11.83,100238
59,3210535,292295,12394022,50250511,24568,1856,11254205,67474,18,19517,290608,4152,11.69,100238
60,3266065,302600,12556969,51127605,24568,1856,11432233,68615,18,19517,290608,4152,11.64,100238
61,3321860,306133,50924873,52015905,24568,1856,11618944,69729,18,19517,290608,4152,12.21,100238
62,3378108,313692,12780622,52897296,24568,1856,11799378,70723,18,19517,290608,4152,11.94,100238
63,3436841,324748,12880056,53826674,24568,1856,11985598,71847,18,19517,290608,4152,12.74,100238
64,3492650,328144,53299010,54693631,24568,1856,12163974,72957,18,19517,290608,4152,11.84,100238
65,3546428,331194,13118796,55573341,24568,1856,12344959,74004,18,19517,290608,4152,12.12,100238
66,3604244,334484,54860480,56449184,24568,1856,12524361,75122,18,19517,290608,4152,11.99,100238
67,3660610,350362,55673421,57361112,24568,1856,12711524,76303,18,19517,290608,4152,12.28,100238
68,3718444,353376,13461090,58253301,24568,1856,12895609,77316,18,19517,290608,4152,12.41,100238
69,3776600,356500,13560662,59151117,24568,1856,13080807,78403,18,19517,290608,4152,12.32,100238
70,3830803,364001,13671842,60032173,24568,1856,13259625,79493,18,19517,290608,4152,12.09,100238
71,3888064,375284,13794590,60935555,24568,1856,13445023,80590,18,19517,290608,4152,12.22,100238
72,3945904,378866,13877666,61850092,24568,1856,13635314,81753,18,19517,290608,4152,12.77,100238
73,4002748,381906,60359671,62747290,24568,1856,13823049,82917,18,19517,290608,4152,12.39,100238
74,4060269,385061,14062556,63651309,24568,1856,14011022,83997,18,19517,290608,4152,12.63,100238
75,4116034,392022,61905803,64556388,24568,1856,14199631,85086,18,19517,290608,4152,12.25,100238
76,4171698,403118,14286922,65457483,24568,1856,14384580,86151,18,19517,290608,4152,12.24,100238
77,4224467,406538,14420325,66314997,24568,1856,14563360,87257,18,19517,290608,4152,11.74,100238
78,4279126,409999,14576085,67169305,24568,1856,14740312,88421,18,19517,290608,4152,11.65,100238
79,4332973,413558,14736838,68037002,24568,1856,14913678,89533,18,19517,290608,4152,11.35,100238
80,4388163,416773,14861501,68904786,24568,1856,15095238,90594,18,19517,290608,4152,11.95,100238
81,4447002,420734,14949626,69822883,24568,1856,15290461,91686,18,19517,290608,4152,12.87,100238
82,4502556,423798,15054593,70715945,24568,1856,15478338,92804,18,19517,290608,4152,12.31,100238
83,4555898,427262,68234100,71615056,24568,1856,15659071,93832,18,19517,290608,4152,11.97,100238
84,4614120,435097,69007426,72494967,24568,1856,15847392,94950,18,19517,290608,4152,12.36,100238
85,4675633,439222,15346261,73407234,24568,1856,16043963,96046,18,19517,290608,4152,12.90,100238
86,4734756,442402,70537936,74317056,24568,1856,16240710,97104,18,19517,290608,4152,12.91,100238
87,4794350,445305,15503515,75238809,24568,1856,16441529,98176,18,19517,290608,4152,13.27,100238
88,4852801,448635,15604887,76134397,24568,1856,16634262,99244,18,19517,290608,4152,12.64,100238
89,4911132,452526,15690968,77043116,24568,1856,16829128,100292,18,19517,290608,4152,12.70,100238
90,4969230,455957,15784450,77978790,24568,1856,17025231,101308,18,19517,290608,4152,12.74,100238
91,5027174,459381,15870612,78898411,24568,1856,17223248,102416,18,19517,290608,4152,12.83,100238
92,5086254,462848,15935248,79827023,24568,1856,17419246,103468,18,19517,290608,4152,13.02,100238
93,5142076,470740,16042524,80722498,24568,1856,17606992,104568,18,19517,290608,4152,12.31,100238
94,5200619,481975,76754146,81646659,24568,1856,17794188,105648,18,19517,290608,4152,12.54,100238
95,5256209,485354,77538925,82516124,24568,1856,17975655,106707,18,19517,290608,4152,11.95,100238
96,5312464,488243,16396366,83386643,24568,1856,18160065,107830,18,19517,290608,4152,12.32,100238
97,5370206,491581,79097691,84250782,24568,1856,18345024,108802,18,19517,290608,4152,12.06,100238
98,5426389,494534,79865742,85139065,24568,1856,18535384,109866,18,19517,290608,4152,12.59,100238
99,5486129,510014,16745656,86039045,24568,1856,18729008,110989,18,19517,290608,4152,13.07,100238
100,5542899,513222,81407436,86937130,24568,1856,18914607,112085,18,19517,290608,4152,12.22,100238
101,5597609,516890,16967401,87807751,24568,1856,19094001,113213,18,19517,290608,4152,11.85,100238
102,5653158,520002,17065092,88700046,24568,1856,19277708,114200,18,19517,290608,4152,12.26,100238
103,5709873,523545,17163901,89631013,24568,1856,19467329,115297,18,19517,290608,4152,12.33,100238
104,5767614,526892,17253866,90533527,24568,1856,19657887,116424,18,19517,290608,4152,12.40,100238
105,5828664,530195,17320079,91473645,24568,1856,19860449,117543,18,19517,290608,4152,13.55,100238
106,5886336,533447,17423857,92361148,24568,1856,20053280,118677,18,19517,290608,4152,12.52,100238
107,5946554,536818,17499591,93282234,24568,1856,20256221,119708,18,19517,290608,4152,13.36,100238
108,6007689,542098,17602523,94213541,24568,1856,20462645,120913,18,19517,290608,4152,13.58,100238
109,6068045,545444,17693469,95120795,24568,1856,20663280,121970,18,19517,290608,4152,13.32,100238
110,6126981,548751,17779591,96029639,24568,1856,20864789,123145,18,19517,290608,4152,13.30,100238
111,6188792,552301,17847739,96958459,24568,1856,21068854,124286,18,19517,290608,4152,13.28,100238
112,6242112,555927,90686221,97804822,24568,1856,21247753,125374,18,19517,290608,4152,11.53,100238
113,6300259,569365,18099925,98733249,24568,1856,21441997,126483,18,19517,290608,4152,12.99,100238
114,6357756,572950,18183279,99641119,24568,1856,21632720,127585,18,19517,290608,4152,12.56,100238
115,6414684,576788,18279065,100543935,24568,1856,21823721,128664,18,19517,290608,4152,12.44,100238
116,6471471,580258,18359063,101463367,24568,1856,22022135,129792,18,19517,290608,4152,12.72,100238
117,6527773,583917,18497414,102362222,24568,1856,22198046,130915,18,19517,290608,4152,11.71,100238
118,6583754,587565,18619104,103238323,24568,1856,22383098,132001,18,19517,290608,4152,11.88,100238
119,6642134,590974,18688930,104171355,24568,1856,22578858,133041,18,19517,290608,4152,12.89,100238
120,6699806,594389,96970470,105128685,24568,1856,22772191,134125,18,19517,290608,4152,12.81,100238
