period,wifi,tiT,experiment_runn,measurer,main,IDLE,TmrSvc,ipc1,sys_evt,esp_timer,ipc0,Heap,Stack,Mbps
167,40172010,51207010,19728626,792692,113864,117798471,19,36496,24540,220372,1881,206992,4152,16.21
168,40412519,51461076,19847893,796117,113864,118482556,19,36496,24540,221716,1881,206992,4152,16.51
169,40650434,51719532,19967916,799581,113864,119162613,19,36496,24540,223088,1881,206992,4152,16.52
170,40889935,51991148,20089681,802999,113864,119852571,19,36496,24540,224296,1881,206992,4152,16.68
171,41125679,52263909,20210222,806158,113864,120540670,19,36496,24540,225475,1881,206992,4152,16.68
172,41368403,52541032,20330292,810476,113864,121226765,19,36496,24540,226681,1881,206992,4152,16.47
173,41605384,52807342,20447324,813614,113864,121914303,19,36496,24540,227854,1881,206992,4152,16.49
174,41843911,53068561,20563502,817079,113864,122595799,19,36496,24540,229117,1881,206992,4152,16.53
175,42085829,53359768,20683539,819718,113864,123277483,19,36496,24540,230415,1881,206992,4152,16.68
176,42322939,53644309,20799064,822880,113864,123963286,19,36496,24540,231806,1881,206992,4152,16.49
177,42561278,53904413,20919103,829068,113864,124644336,19,36496,24540,233107,1881,206992,4152,16.74
178,42808157,54200780,21043382,837701,113864,125327229,19,36496,24540,234305,1881,206992,4152,16.75
179,43048687,54458515,21160743,845561,113864,126019220,19,36496,24540,235617,1881,206992,4152,16.74
